comments,a,b,c,d,e
"there's a lot of talk at the top about bringing more women to ELT, but NOTHING every happens. I've been here for 2 years and they all say ""it's a priority!"" but clearly it's not, because nothing has changed. ",G_L_D_H,GD_Talk_more_fix_few,,,
"no place to put general comments about the survey itself, so putting them here:  evaluating technical proficiency isn't always appropriate for the job.",None,,,,
There appears to be no gender diversity at the executive leadership level and very little diversity at the leadership level. ,G_L_D_H,,,,
"I've been at XXX for almost 3 years. When I was interviewing at headquarters, I was shown the beer fridge (ugh, I'm a 40 year old woman, who gives a toot??)... and then watched some loudmouth guy walk down the stairs talking on his Bluetooth at the top of his lungs and then watched as everyone parted as if a sea so he could pass (I learned later it was our founder, and also groaned inwardly). So, it's safe to say I knew exactly what I was getting into--and I needed a job, so I took the job.  As a newer employees, I vividly recall being regaled by stories about party-boy behavior that was de facto at Point Lookup at my FORCED and POINTLESS social gabfest/meetings that I had to travel for constantly while trying to juggle over-the-top workloads. (I groaned inwardly at these stories, as they are unsurprising, and I'm too old to care about that crud and was just hoping for a job that I could do well and be left alone to have a life outside of my company that would not required buying into all the ""culture worship"" that is apparently necessary for 20-something bros to work.) I also remember watching a company meeting via WebEx when our founder (thank god he's gone, groan) basically stepped back into the 1980s and blamed women for not advancing themselves in his workplace. I was unsurprised. I ignored it all as much as I could.  Today--only 3 years later, the ""special sauce"" culture at XXX has effectively TOTALLY alienated me from participating (or wanting to participate) in any way with XXX--aside from just doing my damned job well. I like the people I work with on my immediate team, and have just kept my head down in an effort to just get the hell home at 5pm most days. I do like my work, and the kind of projects I do. I just wish I could completely dial down the noise that Watertown loves to create and force me into traveling to ""enjoy"" (sarcasm quotes).  I consider my reaction to be a very normal one for any woman who is confident in her skills and is fully honest with herself after 20+ years of IT jobs. Just leave me alone! Let me do my job! Stop making me stop my life to attend ""trainings"" that are really forced networking that doesn't matter and sucks my soul dry. It's perfectly acceptable to be engaged in your job--and not lust for Pedro's daily.",OTHER,,,,
"This company talks a LOT about the need for diversity.  Talking about it and doing it are completely different.  The fact that women need a mentor or a special program for develop, yet men can just be promoted is appalling.   What is also appalling is when women who are Directors leave (since they have no career path and have been shut down for a higher title), some how men quickly fill their spots and are promoted to Executive Director or above within 6 months or less of being in that role.  ",G_L_D,GD_Talk_more_fix_few,CA_PO_U,CA-Ceil_Fm,
"There is very little gender diversity and when we do get someone at the ""upper levels"" they have left quickly?",G_L_D_H,,,,
"Not only is there a M/F imbalance in the leadership roles, there is also an imbalance in the obvious departments - lots of F in marketing/HR, not so much in the technical departments. With the obvious exception of Dan Haley, white male, who gets to be at the C level over HR with absolutley no HR experience.",G_L_D_H,G_L_D,,,
"There seems to be an unconscious bias towards men in upper level positions (from my limited experience it does not seem intentional, however it is visible that there are less women on the ELT than men). I have not personally experienced any discrimination in terms of career development opportunities. ",G_L_D_H,WE_MA,,,
"I just started working for XXX. When I was interviewing, I was told again and again by female candidates who had left that there is a glass ceiling at XXX.   I shrugged because I'm starting a lower position and don't have to worry about that yet. However, within a few weeks of my employment, a male colleague with both less experience and less relevant experience was promoted over a woman who had been doing that job for a year. Worse, the company chose to relocate the male from India rather than just use a woman who was already doing the job in WAT. It seemed very distasteful and caused a lot of eyebrows to raise in my group composed of mainly women. ",CA_Ceil_Fm,New ,CA_PO_U,CA_Hr_Out,
Its rare to see women growing beyond a senior manager level in XXX. Strong women who came to XXX were forced to leave or they left on their own since the company's culture is not open to gender diversity at the top level.,G_L_D_H,N_G_keep_H,,,
There is no gender diversity in SLT or ELT,G_L_D_H,,,,
"Although there are more women at this company than those I worked for in the past, I notice there are few above Director. ",G_L_D_H,,,,
"Overall lack of women in leadership positions is a long-standing issue.  When women are in leadership positions, it tends to be in the HR area only.  Also, when people are promoted and coached from within the org, it seems to be men who get the upper hand there.  ",G_L_D,CA_PO_U,,,
"I think XXX is way too focused on blanket statements. Something comes up about our leadership being mostly male, and we jump on this initiative to fill the place with all women. As a women, I certainly would love to see more like me in leadership, but we still need to focus on the right woman for the role. Additionally, in focusing JUST on women, we are excluding non-binary individuals and others who may be a part of another gender identity. We have an extremely long way to go...",Other,G_L_D_other,,,
"There have been attempts to put women in Senior Leadership roles but they seem to be short lived.  Currently all Senior Leadership is men.  2 years ago when they incorporated General Managers, not one female was selected.",N-G_keep_H_Fm,,,,
"There is a surprising and frustrating lack of gender diversity at the leadership level, yet at the junior levels women are the majority. This represents a culture lacking the ability to foster female growth, and is a factor in creating this unbalanced situation.",G_L_D_H,WE_L_Cul,,,
"Gender diversity is lacking at XXX especially for the visible, higher up positions.  While it has improved in the past few years it is still not where it should be for a company this size.",G_L_D,,,,
"There ware way more males in leadership, and they also get promoted faster from co-hort to co-hort.",G_L_D_H,CA_PO_U,,,
"It is clear that leadership is dominated by Males in this company - regardless of the reason this happened, this should change WHEN there are viable female candidates.",G_L_D_H,,,,
we have women in SLT now-  I hope they are held to the same standard as the men. Historically it has seemed that women are held to a higher standard and are quickly removed while questionable male leadership have been allowed to remain in their positions. ,N_G_keep_H_Fm,Improv_GD_H,,,
"In my time here, I have seen both ends of the spectrum in terms of success and discrimination when it comes to gender diversity. Recently, ELT has done exceedingly well recognizing the need to take action with respect to the inclusion of women at all levels. However, in past experiences I've had concerns with the lack of visibility ELT has into lower level people managers when it comes to hiring, equal treatment, and/or promoting women with equivalent and sometimes more experience. The new initiatives sound promising but actions speak louder than words. ",Impv_GD,G_L_D_H,,,
"The lack of women in senior leadership has been very discouraging to me on a personal level. At the same time, I think it would be damaging to promote a woman just to add diversity to leadership. The right woman for the job is out there!",G_L_D_H,CA_PO_U,,,
"We talk about the importance of gender diversity but don't actually have programs or action plans to help achieve diversity at all levels. Diversity can also vary wildly from one department to the next. The worst offenders of imbalance of diversity (and those who have made comments that do not appear to support gender diversity) are the C-level males. We have heard stories of comments around women not working as hard if they have flex schedules for childcare, and comments of men who are committing career suicide by taking paternity leave. ",G_L_D,Effd_GD&GE,WE_L_Eff,,
"So much of the issue appears to be in perception. Without women in senior leadership roles, women believe they can't get into senior leadership roles at XXX and then self select out before they have the possibility of getting there.  We have for so long valued hiring the ""right person"" for the job. If we shift our thinking to ""building the right team"" for the work to be done, the criteria for who the right person is will shift and diversity issues will be a critical component of the conversation.",WE_CEIL_Fm,G_L_D_H,Other,,
It's incredibly disheartening to not see enough women in leadership roles or highly visible roles at XXX. Also the rate at which men advance their careers compared to women is appalling- I was promoted to a cohort after 10 years work experience and 2 men in my department were promoted to the same cohort with 5 years work experience There is nothing equal about that. ,LTE,CA_PO_U,G_L_D_H,,
"lots of gender diversity at the lower cohorts, but not once you get into leadership, which sends the message that only men can successfully hold those positions",G_L_D_H,,,,
We talk about gender diversity alot...but the proof is in the pudding.  There are hardly any women in higher levels of leadership.,G_L_D_H,GD_Talk_more_L_fix,,,
"I've been lucky to work on a nearly all-female team in my time at XXX, and it does feel like that - lucky. I have reported to a strong female leader for my entire time at XXX and have learned from her example. The two men on our team report to me; recently, one of them noted that he was in a meeting with product/engineering, and it was his first meeting in a year that was exclusively men. Though it feels like we've built a ""safe haven"" for diversity on our team, and even Customer Success as a whole, it is bizarre when we interact with other organizations who have more male employees. Gender diversity doesn't feel consistent across the company.",G_L_D,Department,,,
"There is an obvious lack of female leadership at the SLT level. There has been extensive turnover in the position of the head of human resources over my time as an XXX employee. Women on SLT in the past have left the company, many after less than a year in the position. My impression has been that these women were not comfortable working with the SLT as a whole. I do have the impression that the company as a whole is welcoming to female employees as well as gender non-conforming individuals.",G_L_D_H,N_G_keep_H_Fm,,,
"It feels like we have enough women on the manager/senior manager cohort and below, but have less women with any cohort above that.",G_L_D_H,,,,
"One comment of context - while I am currently part of the product organization, I recently transitioned from working within the sales organization (within the last two weeks), so my comments are reflective of my experience within that organization.   I believe that change needs to start at the top first. When members of executive leadership are at best permissive of demeaning behavior towards women, and at worst, perpetrators of harassment themselves, this type of culture becomes pervasive. There is significant cultural change that needs to occur, and that I believe is possible with the right leadership. I believe it is critical to have women in executive leadership positions to help steward this change. Even with the best intentions, it cannot come from a nearly all-white and all-male leadership team. There must be diversity of perspective and experience.",OTHER,,,,
"I personally don't find gender diversity to be a significant issue at XXX. Within my own department, both genders are equally represented.",N_G_L_D,Department,,,
"I prefer performance, skills and experience be considered for roles rather than just gender.  ",N_G_PO_only,,,,
I have never worked at a company who I believed strongly promotes everyone and encourages advancement of all genders as well as XXX.,N_G_L_D,,,,
"By and large, gender diversity is more present at XXX than at other companies. What is absent is racial diversity.",N_G_L_D,WE_L_Cul,,,
I feel very confident that the leadership at XXX is well intended and not putting a stop to the development of women.  I feel that the company as a whole has latched on to the idea that there is a diversity issue and is solving for that rather than helping women (or men for that matter) gain the confidence needed to pursue their career goals.,Impv_GD_H,Impv-GD,,,
"I don't see many women in Executive or high-level leadership positions. I also, often don't feel respected as a woman on my team (Web).",G_L_D_H,,,,
"XXX does not promote or hire women in executive level positions.  Women hold a small percentage of positions at and above the VP level.  Our BOD is 78% men. In a world where more women are graduating with college and post graduate degrees, XXX seems behind the times.",CA_PO_U,G_L_D_H,,,
"I think gender diversity is in general improving at lower cohorts and in R&D, but not yet at leadership levels. I know they are trying. ",G_L_D_H,,,,
"Leadership has been ""talking"" about gender diversity, but I've yet to see meaningful action (e.g. actually hiring a woman or minority in the C-suite.)",GD_Talk_more_fix_few,,,,
Definitely headed in the right direction,Impv,,,,
"This company has always felt like a boy's club, and you are at an extreme disadvantage if you need flexibility.  I want a family, and I truly believe my career will be stunted.  Thi is a culture where work comes before everything.",WE_MA,WE_L_Cul,,,
"We need more of it. Women are promoted at a slower pace than men and even men who have demonstrated a lower quality of work or skillset. It's very frustrating and has been a trend for years. In the last two years, overall leadership has acknowledged the lack of women at senior positions but have taken no effective actions to course correct. Some leaders have taken more initiative than others.",CA_PO_U,G_L_D,,,
"I feel that the burden of improving gender diversity has fallen to the ERGs (WLF, aDiversity) instead of having clear sponsorship and accountability from ELT.  This shouldn't just be one-off initiatives, but actual ongoing, embedded practices.  For example, it concerns me that market adjustments in raises are left to the full discretion of the people manager, and are not recommended or enforced by HR to combat unconscious bias.",Impv_GD,N_GD_Prm,,,
"As a long time female employee, I have never felt that I was at a disadvantage because I'm a woman.  I have felt that opportunities have come up for me just as much as my male peers and that the best candidates have gotten roles.  XXX works hard to be a flexible company that is understanding of the tough balance of work and life.  However, I think there are roles and situations that require additional work time (whether travel, long hours, etc) and those are minimum requirements of the role.  In those scenarios, each individual needs to determine if that is the right role for them at that time in their life.  Are you able to meet the minimum requirements for the role to be successful?  Seeing female leaders at the top isn't important to me, but trusting in the process that all candidates were evaluated equally and the best person got the job.  That's what matters.",LTE,N_G_L_D,WE_PO_E,Emf_Abb_Imp,
"My concern is that at the exec leadership positions and above, there are very few women. Not sure why - is it intentional or not. Is it the 'good old boy' network? Or is that there are few women qualified to be at that level. ",G_L_D_H,WE_MA,,,
"Not enough promotion of women in this company, its not that the talent doesn't exist, its that its not recognized and promoted. It gets filtered out by senior leadership and above who control that information and don't look for equal skills/talent across men and women",CA_PO_U,,,,
"The leadership team never even acknowledges the fact that female senior executives are short-lived here. Why are they so afraid to admit the problem? It feels like they play favorites, and their favorites are always men. For those of us in lower ranking roles, it's hard to relate to leadership when you don't see anybody like you there.",N_G_keep_H_Fm,CA_PO_U,,,
XXX has lost great female talent in recent years due to lack of mobility to advance beyond the exec director cohort,none,,,,
XXX has less women in leadership than other similar companies,G_L_D_H,,,,
"i think there is great gender diversity across XXX as a whole, but would like to see that consistently apply across senior cohorts ",N_G_L_D,G_L_D_H,,,
Epocrates actually has many more women than men due to the type of work we do and the types of candidates we attract. ,NONE,,,,
"Gender diversity is good at the lower cohorts, but as you move up the cohorts there are more and more men at the top. The company has not done a great job speaking to this (e.g., ""not enough women available for senior leadership roles to recruit from"" or ""women at XXX leave before they can get to senior leadership).  These types of messages make it seem as though XXX is not committed to improving this problem. Diversity is crucial to success.",G_L_D_H,,,,
We talk a lot about the need to diversify but I haven't seen much action in the 7+ years I've been here.  ,LTE,GD_Talk_more_fix_few,,,
I work in the Belfast location.  I do not feel there is a gender diversity issue here.  I feel this is more of a Watertown and/or Atlanta issue.,N_G_L_D,,,,
There's great gender diversity at XXX until you get to senior & executive leadership. That's pretty discouraging.,G_L_D_H,,,,
Women seem to get to the director level and then their trajectory is stalled for reasons unknown or not communicated well.,N_G_keep_H_Fm,,,,
"Gender diversity seems generally balanced across the entire company (and including in my department), but overall it's significantly lacking in highest leadership roles.  Recent promotions of female leaders (legal, HR) to EVP are a step in the right direction.",Impv_GD,G_L_D_H,,,
It has been depressing and demotivating to have such low representation of women in leadership and to see many female leaders leaving.,G_L_D_H,,,,
"Seems like many women at XXX, not sure how happy they are with career development.",NONE,,,,
"A few of the questions were about communications and commitment and I think we're further than saying it's a problem or ""committing"" to the issue.  In the past 6 months, over 5 Director-level women have left, many specifically siting lack of career growth and opportunity - fewer chances to get a 'stretch project' where men are offered at a higher rate.  It is scary and demotivating to see most of my role models exit - feeling like I only have a matter of time before I also hit the 'glass ceiling' of Director and need to find a new company to be able to continue to advance.  ",CD_L_DO,N_G_keep_H_Fm,,,
The lack of women at the top make it hard to see ourselves doing the same thing down the line.,G_L_D_H,,,,
"At the end of the day, I believe XXX is committed to ensuring the right person is chosen for the right role.",NONE,,,,
more women in the SLT and for that matter good ones that stay at XXX,NONE,,,,
"There is limited diversity at XXX in general, and it's not limited to gender.",WE_L_CD,G_L_D,,,
"Our leadership has always spoke a great game about women in the workplace but honestly, all this talk about it just feels like we are checking a box to be ""politically correct"".  The real evidence is who you see in all of our leadership roles today.  When a woman does make it into one of these roles, it is very short lived.  I never want to see a woman put in a role just because she is a woman.  I want to see the best qualified people placed in a role regardless of gender but we have had some great women in leadership and their career is always short lived at XXX.  Again, I don't know what the real story is but perception from this end is that all these talks of women in leadership (VP and up) are exactly that, just talk.  I'm sure the perception will change when more women begin to fill some of these roles as opposed to just talking about it incessantly.  ",GD_Talk_more_fix_few,Emf_Abb_Imp,N_GD_only,,
"In my org, I feel there is a good balance of gender diversity. I can't speak to other parts of the organization. Being here +3 years, I feel that women at the ELT level leave a lot and rumors of why they leave being tied to the ""boys club"" are always referenced.",N_G_L_D,N_G_keep_H_Fm,,,
There are very few women in leadership above director level and no women in the C suite. We operate off of competency maps but the leadership level do not reflect diversity or quality which make you question the validity of the performance measures.,G_L_D_H,,,,
"Above the manager cohort women increasingly dwindle in numbers as they approach more leadership positions. There is a culture here that promotes being more aggressive and territorial, jumping quickly-to-action, and stubbornly pursuing one's own vision - things that are more stereotypically male. Things that women exceed at such as collaboration, listening, adaptiveness, and reasoned analysis are not the priority. To make it to the top you have to do it on a man's terms, not a woman's.",WE_L_Cul,CD_down.esti_Fm,,,
I feel XXX has good gender diversity at this time. ,N_G_L_D,,,,
"the issue for me is not the gender diversity as I see many women in my department in key positions, but instead a popularity contest for promotion regardless of gender.  It's not a gender issue for promotion, but more of a popularity issue and if one person doesn't like you for some reason your career pathway is done (man or woman).  Most of the ""popularity"" issues are an Atlanta vs. Boston division as Atlanta is further away from larger project hand offs.  Now with the PPO our ability to travel to Boston to take place in hirer project visibility is limiting our input on projects that affect our organization's workflows.",N_G_L_D,WE_bias_Inf_H,WE_L_Eff,,
"As a strong, empowered woman, I feel that I control my own success.  In my opinion, gender diversity starts with me, and XXX has done a fine job of creating an environment where I feel I can flourish and am supported to overcome roadblocks.  It frustrates me that so many women don't realize that they are often making the world's problems our own.  And I feel that this has been such a hot topic that people end up talking about because it's more 'popular' than 'real'.   Yeah, could we use more Senior female leaders, sure.  And I want to take action against unconscious bias and help women feel as empowered as I do.  But do we know how many qualified women have applied for senior roles?  No, I don't.  And have I ever heard of a woman here being held back because of her gender?  No, I haven't. ",N_G_L_D,Emf_Abb_Imp,N_GD_Prm,other,
The discussion lately has felt purely for public benefit not because there is genuine care. ,none,,,,
"I appreciate the work and the attention being paid at the top. I think there are 2 sides to getting gender diversity. The first is what I perceive to be happening, which are opportunities from the top. The next piece is one I don't necessarily have a solution for yet - women's confidence to put themselves out there for higher positions for fear of being scrutinized or passed over.",OTHER,,,,
