,Leadership - Female,,,,
14,"it's hard to answer these questions about women GENERALLY, when I only have the experience of ONE woman - me.  That said, I don't think our issues are captured in this survey.  I think our issues are systems and processes and 20 years of history and bias with a founder who didn't believe in this.  It's not about ""workplace flexibility policy"" it's about ""I forgot about Julie because she's working from home today, and I didn't see her in the office, and it's an out of sight out of mind thing..."" so Julie doesn't get the opportunity.  It's more that we haven't made this DELIBERATE.",WE_PS_Prm,LTE,WE_MPrm,
15,"There is a glass ceiling here at XXX. Women have to prove themselves before they get promoted, whereas we consistently take changes on men. We keep weak male leaders in their positions and continue to reward them rather than the strong women underneath. ",G_D_L_H,CA_PO_U,CD_RI_F,
16,"I think XXX is trying hard to support gender diversity, at least through communications. ",Realize_Prm,,,
17,"It's nice that leadership is starting to pay lip-service to gender diversity. It's nice that we put women on ELT for optics given the public pressure we're now under. But I've yet to see meaningful commitments to lasting change. Many talented, high-performing women are stuck at the Sr Manager, Director, and ED cohorts. When I start to see them moving, I'll feel like women have an equal shot at XXX.",Realize_Prm,G_Dis_Def,,
18,I,none,,,
19,"Diversity in dev, outside of Clinicals, is horrible. Recent departures of several women leaders in Clinicals makes it worse.  The company as a whole employs many women, but the majority are in lower-paying jobs, such as customer service. Before the agile transformation, there were lots of new grads hired as PIs to complement the new grad devs.  Many of the PIs were women.  Some stayed through the agile transformation, if they had achieved some success already.  Many left, in favor of hiring POs with more experience in that role.  Those have turned out to be mostly men, in my area. ",G_D_L,CD_under_pay,CA_PO_U,
20,"The same opportunities and promotions are not available to women.  Career path advice and feedback is biased, whether the men are aware of it or not.",CA_PO_U,,,
21,"I am happy to see the executive team being so vocal about this issue.  The discussion has changed to a more realistic acknowledgement that something is awry that won't be fixed by waiting or by simply hiring a female executive.  Many companies have the same issues we do, the difference is that we are ready to tackle it openly.  An interesting thing for us to study is the pattern at XXX over the last 10 years, as there were many women in leadership positions in the earlier days of the company.  Why did they all leave, and what has changed in our environment?",Realize_Prm,,,
22,There is definitely a ceiling at XXX and not many women break through it.  Even those who have don't seem to last long here.  I wonder why?,CA_PO_U,,,
23,"80% of healthcare workforce are women, yet SLT at XXX has historically been less than 10% women. ",others,,,
24,"It is unacceptable to have such a lack of woman in the VP, SVP, and Executive team cohorts at XXX.",G_L_D_H,,,
25,"Opportunity depends on which group you report into.  Some senior leaders advance women as quickly as men. I think the client facing organization has not advanced women to positions above director as quickly or easily as men.  Women have to prove themselves year after year and still may not advance; my impression is that after one good year, a man as an opportunity to move up to ED or VP. ",CA_PO_L_Dep_sale,,,
26,"There is a gap between ""Leadership"" and ""Executives"" and a confidence in the group being committed to gender diversity. There is a bit of a boys club at the executive level and they seem more comfortable letting other boys in.  ",G_L_D_H,WE_MA,,
27,Great diversity at lowest levels and declines steadily as you advance up  SM's belief was that all were hired/ retained/ promoted based on ability but did not appear to be true in the past.  Hopeful for the future,G_P_D_L,CA_PO_U,,
28,We need more women in VP+ positions.  We need to make good on our pledge to interview at least one women for every VP+ open role (which didn't happen when Kyle left and Jon P took the vast majority of his job and direct reports.,G_L_D_H,,,
29,"already known, but we need more women at VP and above cohort and even in the ED cohort.  Also diversity beyond gender.",G_L_D_H,,,
30,"My perception is that there has been a serious problem at the senior exec level which prevented women from obtaining or succeeding in ELT roles.  The resulting boys club had a very negative trickle down affect.  I am very optimisitic about the new and interim leadership and believe they are already creating change.  It will take time before we know if this is systemic change or superficial, but it is very positive.",G_L_D_H,WE_MA,,
31,"It is known that we need to have more qualified and successful women in leadership roles, but it is the ""how"" that needs to be answered since many seats are filled by men.",G_L_D_H,,,
32,"The higher you go in the organization, the fewer women there are; when you reach ELT,  there are none.",G_L_D_H,,,
33,There is no gender diversity once you get above director. You don't need a survey to tell you that. You know that. ,G_L_D_H,,,
34,"- C level is all men and it is challenging to know whether opportunities were offered to women and transparency into those decisions. - Women seem to be strong in early leadership roles with no clear indication why it drops off at VP, SVP and above. - Whi",G_L_D_H,,,
35,"I believe middle management and lower cohorts do a fantastic job of attracting diverse talent and treating people equally. Above Director, the balance is much harder as expectations for workload and presence are not in line with the needs of a dual-working household. ",G_P_D_L,G_L_D_H,,
36,"Women are not getting promoted at the same rate as men, despite evaluations, even though often women are judged harsher than men.  I bet if there was a blind review of leadership resumes with the names hidden, women on average would be judged to belong to greater leadership levels than they are today. There are many highly qualified women that were brought in recently below their qualifications and some men that were hired well over their qualifications at the leadership level. ",CA_PO_U,,,
37,The numbers in the OOCTO org do not look good at all.,NONE,,,
38,I think much more needs to be done to demonstrate to the organization that gender diversity is a core value at XXX.,others,,,
39,I am encouraged to see progress just in the past few weeks with female ELT members!,others,,,
40,Gender diversity seems lacking at the upper ranks,G_P_D_H,,,
41,"This isn't much gender diversity at VP or above. It seems like the pack thins out and plateaus at ED. We haven't been able to attract and retain visible woman leaders. It would be great to have role models that are representative of the general population (balance work and family, etc).",others,,,
42,"We need to hire and keep women at the executive leadership level, especially on the tech side.  ",G_L_D_H,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,,,,,
252,,,,,
253,,,,,
254,,,,,
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,,,,,
282,,,,,
283,,,,,
284,,,,,
285,,,,,
286,,,,,
287,,,,,
288,,,,,
289,,,,,
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,,,,,
298,,,,,
299,,,,,
300,,,,,
301,,,,,
302,,,,,
303,,,,,
304,,,,,
305,,,,,
306,,,,,
307,,,,,
308,,,,,
309,,,,,
310,,,,,
311,,,,,
312,,,,,
313,,,,,
314,,,,,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,,,,,
338,,,,,
339,,,,,
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,,,,,
354,,,,,
355,,,,,
356,,,,,
357,,,,,
358,,,,,
359,,,,,
360,,,,,
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,,,,,
366,,,,,
367,,,,,
368,,,,,
369,,,,,
370,,,,,
371,,,,,
372,,,,,
373,,,,,
374,,,,,
375,,,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,,,,
381,,,,,
382,,,,,
383,,,,,
384,,,,,
385,,,,,
386,,,,,
387,,,,,
388,,,,,
389,,,,,
390,,,,,
391,,,,,
392,,,,,
393,,,,,
394,,,,,
395,,,,,
396,,,,,
397,,,,,
398,,,,,
399,,,,,
400,,,,,
401,,,,,
402,,,,,
403,,,,,
404,,,,,
405,,,,,
406,,,,,
407,,,,,
408,,,,,
409,,,,,
410,,,,,
411,,,,,
412,,,,,
413,,,,,
414,,,,,
415,,,,,
416,,,,,
417,,,,,
418,,,,,
419,,,,,
420,,,,,
421,,,,,
422,,,,,
423,,,,,
424,,,,,
425,,,,,
426,,,,,
427,,,,,
428,,,,,
429,,,,,
430,,,,,
431,,,,,
432,,,,,
433,,,,,
434,,,,,
435,,,,,
436,,,,,
437,,,,,
438,,,,,
439,,,,,
440,,,,,
441,,,,,
442,,,,,
443,,,,,
444,,,,,
445,,,,,
446,,,,,
447,,,,,
448,,,,,
449,,,,,
450,,,,,
451,,,,,
452,,,,,
453,,,,,
454,,,,,
455,,,,,
456,,,,,
457,,,,,
458,,,,,
459,,,,,
460,,,,,
461,,,,,
462,,,,,
463,,,,,
464,,,,,
465,,,,,
466,,,,,
467,,,,,
468,,,,,
469,,,,,
470,,,,,
471,,,,,
472,,,,,
473,,,,,
474,,,,,
475,,,,,
476,,,,,
477,,,,,
478,,,,,
479,,,,,
480,,,,,
481,,,,,
482,,,,,
483,,,,,
484,,,,,
485,,,,,
486,,,,,
487,,,,,
488,,,,,
489,,,,,
490,,,,,
491,,,,,
492,,,,,
493,,,,,
494,,,,,
495,,,,,
496,,,,,
